planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
venus,nakshatra,Ashwini,1,1961-09-05T18:50:37.500000+00:00,1961
venus,nakshatra,Revati,4,1961-12-26T06:45:00+00:00,1961
venus,nakshatra,Ashwini,1,1962-04-18T11:03:45+00:00,1962
venus,nakshatra,Revati,4,1962-08-08T02:20:37.500000+00:00,1962
venus,nakshatra,Ashwini,1,1962-11-29T06:05:37.500000+00:00,1962
venus,nakshatra,Revati,4,1963-03-20T18:11:15+00:00,1963
venus,nakshatra,Ashwini,1,1963-07-11T20:03:45+00:00,1963
venus,nakshatra,Revati,4,1963-10-31T09:45:00+00:00,1963
venus,nakshatra,Ashwini,1,1964-02-21T14:48:45+00:00,1964
venus,nakshatra,Revati,4,1964-06-12T05:09:22.500000+00:00,1964
venus,nakshatra,Ashwini,1,1964-10-03T07:30:00+00:00,1964
venus,nakshatra,Revati,4,1965-01-22T19:13:07.500000+00:00,1965
venus,nakshatra,Ashwini,1,1965-05-15T22:35:37.500000+00:00,1965
venus,nakshatra,Revati,4,1965-09-04T13:30:00+00:00,1965
venus,nakshatra,Ashwini,1,1965-12-26T18:11:15+00:00,1965
venus,nakshatra,Revati,4,1966-04-17T06:45:00+00:00,1966
venus,nakshatra,Ashwini,1,1966-08-08T08:31:52.500000+00:00,1966
venus,nakshatra,Revati,4,1966-11-27T21:33:45+00:00,1966
venus,nakshatra,Ashwini,1,1967-03-21T02:03:45+00:00,1967
venus,nakshatra,Revati,4,1967-07-10T17:03:45+00:00,1967
venus,nakshatra,Ashwini,1,1967-10-31T19:58:07.500000+00:00,1967
venus,nakshatra,Revati,4,1968-02-20T07:46:52.500000+00:00,1968
venus,nakshatra,Ashwini,1,1968-06-12T10:30:00+00:00,1968
venus,nakshatra,Revati,4,1968-10-02T00:50:37.500000+00:00,1968
venus,nakshatra,Ashwini,1,1969-01-23T05:37:30+00:00,1969
venus,nakshatra,Revati,4,1969-05-14T19:01:52.500000+00:00,1969
venus,nakshatra,Ashwini,1,1969-09-04T21:05:37.500000+00:00,1969
venus,nakshatra,Revati,4,1969-12-25T09:28:07.500000+00:00,1969
venus,nakshatra,Ashwini,1,1970-04-17T13:35:37.500000+00:00,1970
venus,nakshatra,Revati,4,1970-08-07T04:18:45+00:00,1970
venus,nakshatra,Ashwini,1,1970-11-28T08:09:22.500000+00:00,1970
venus,nakshatra,Revati,4,1971-03-19T20:26:15+00:00,1971
venus,nakshatra,Ashwini,1,1971-07-10T22:35:37.500000+00:00,1971
venus,nakshatra,Revati,4,1971-10-30T12:28:07.500000+00:00,1971
venus,nakshatra,Ashwini,1,1972-02-20T16:58:07.500000+00:00,1972
venus,nakshatra,Revati,4,1972-06-11T07:07:30+00:00,1972
venus,nakshatra,Ashwini,1,1972-10-02T09:45:00+00:00,1972
venus,nakshatra,Revati,4,1973-01-21T21:45:00+00:00,1973
venus,nakshatra,Ashwini,1,1973-05-15T01:18:45+00:00,1973
venus,nakshatra,Revati,4,1973-09-03T15:45:00+00:00,1973
venus,nakshatra,Ashwini,1,1973-12-25T20:03:45+00:00,1973
venus,nakshatra,Revati,4,1974-04-16T09:00:00+00:00,1974
venus,nakshatra,Ashwini,1,1974-08-07T10:58:07.500000+00:00,1974
venus,nakshatra,Revati,4,1974-11-27T00:11:15+00:00,1974
venus,nakshatra,Ashwini,1,1975-03-20T04:30:00+00:00,1975
venus,nakshatra,Revati,4,1975-07-09T18:50:37.500000+00:00,1975
venus,nakshatra,Ashwini,1,1975-10-30T22:01:52.500000+00:00,1975
venus,nakshatra,Revati,4,1976-02-19T10:13:07.500000+00:00,1976
venus,nakshatra,Ashwini,1,1976-06-11T13:07:30+00:00,1976
venus,nakshatra,Revati,4,1976-10-01T03:22:30+00:00,1976
venus,nakshatra,Ashwini,1,1977-01-22T07:35:37.500000+00:00,1977
venus,nakshatra,Revati,4,1977-05-13T21:00:00+00:00,1977
venus,nakshatra,Ashwini,1,1977-09-03T23:37:30+00:00,1977
venus,nakshatra,Revati,4,1977-12-24T12:05:37.500000+00:00,1977
venus,nakshatra,Ashwini,1,1978-04-16T16:07:30+00:00,1978
venus,nakshatra,Revati,4,1978-08-06T06:28:07.500000+00:00,1978
venus,nakshatra,Ashwini,1,1978-11-27T10:01:52.500000+00:00,1978
venus,nakshatra,Revati,4,1979-03-18T22:52:30+00:00,1979
venus,nakshatra,Ashwini,1,1979-07-10T01:13:07.500000+00:00,1979
venus,nakshatra,Revati,4,1979-10-29T15:00:00+00:00,1979
venus,nakshatra,Ashwini,1,1980-02-19T19:13:07.500000+00:00,1980
venus,nakshatra,Revati,4,1980-06-10T09:00:00+00:00,1980
venus,nakshatra,Ashwini,1,1980-10-01T11:54:22.500000+00:00,1980
venus,nakshatra,Revati,4,1981-01-21T00:22:30+00:00,1981
venus,nakshatra,Ashwini,1,1981-05-14T03:50:37.500000+00:00,1981
venus,nakshatra,Revati,4,1981-09-02T18:05:37.500000+00:00,1981
venus,nakshatra,Ashwini,1,1981-12-24T21:56:15+00:00,1981
venus,nakshatra,Revati,4,1982-04-15T11:03:45+00:00,1982
venus,nakshatra,Ashwini,1,1982-08-06T13:35:37.500000+00:00,1982
venus,nakshatra,Revati,4,1982-11-26T02:48:45+00:00,1982
venus,nakshatra,Ashwini,1,1983-03-19T06:50:37.500000+00:00,1983
venus,nakshatra,Revati,4,1983-07-08T20:54:22.500000+00:00,1983
venus,nakshatra,Ashwini,1,1983-10-30T00:00:00+00:00,1983
venus,nakshatra,Revati,4,1984-02-18T12:45:00+00:00,1984
venus,nakshatra,Ashwini,1,1984-06-10T15:45:00+00:00,1984
venus,nakshatra,Revati,4,1984-09-30T05:43:07.500000+00:00,1984
venus,nakshatra,Ashwini,1,1985-01-21T09:45:00+00:00,1985
venus,nakshatra,Revati,4,1985-05-12T22:58:07.500000+00:00,1985
venus,nakshatra,Ashwini,1,1985-09-03T01:58:07.500000+00:00,1985
venus,nakshatra,Revati,4,1985-12-23T14:48:45+00:00,1985
venus,nakshatra,Ashwini,1,1986-04-15T18:33:45+00:00,1986
venus,nakshatra,Revati,4,1986-08-05T08:31:52.500000+00:00,1986
venus,nakshatra,Ashwini,1,1986-11-26T12:00:00+00:00,1986
venus,nakshatra,Revati,4,1987-03-18T01:01:52.500000+00:00,1987
venus,nakshatra,Ashwini,1,1987-07-09T03:56:15+00:00,1987
venus,nakshatra,Revati,4,1987-10-28T17:31:52.500000+00:00,1987
venus,nakshatra,Ashwini,1,1988-02-18T21:22:30+00:00,1988
venus,nakshatra,Revati,4,1988-06-09T10:58:07.500000+00:00,1988
venus,nakshatra,Ashwini,1,1988-09-30T14:03:45+00:00,1988
venus,nakshatra,Revati,4,1989-01-20T03:05:37.500000+00:00,1989
venus,nakshatra,Ashwini,1,1989-05-13T06:28:07.500000+00:00,1989
venus,nakshatra,Revati,4,1989-09-01T20:09:22.500000+00:00,1989
venus,nakshatra,Ashwini,1,1989-12-24T00:00:00+00:00,1989
venus,nakshatra,Revati,4,1990-04-14T13:07:30+00:00,1990
venus,nakshatra,Ashwini,1,1990-08-05T16:07:30+00:00,1990
venus,nakshatra,Revati,4,1990-11-25T05:31:52.500000+00:00,1990
venus,nakshatra,Ashwini,1,1991-03-18T09:05:37.500000+00:00,1991
venus,nakshatra,Revati,4,1991-07-07T22:58:07.500000+00:00,1991
venus,nakshatra,Ashwini,1,1991-10-29T02:09:22.500000+00:00,1991
venus,nakshatra,Revati,4,1992-02-17T15:11:15+00:00,1992
venus,nakshatra,Ashwini,1,1992-06-09T18:33:45+00:00,1992
venus,nakshatra,Revati,4,1992-09-29T08:09:22.500000+00:00,1992
venus,nakshatra,Ashwini,1,1993-01-20T11:43:07.500000+00:00,1993
venus,nakshatra,Revati,4,1993-05-12T01:01:52.500000+00:00,1993
venus,nakshatra,Ashwini,1,1993-09-02T04:13:07.500000+00:00,1993
venus,nakshatra,Revati,4,1993-12-22T17:31:52.500000+00:00,1993
venus,nakshatra,Ashwini,1,1994-04-14T21:05:37.500000+00:00,1994
venus,nakshatra,Revati,4,1994-08-04T10:30:00+00:00,1994
venus,nakshatra,Ashwini,1,1994-11-25T14:03:45+00:00,1994
venus,nakshatra,Revati,4,1995-03-17T03:22:30+00:00,1995
venus,nakshatra,Ashwini,1,1995-07-08T06:33:45+00:00,1995
venus,nakshatra,Revati,4,1995-10-27T20:09:22.500000+00:00,1995
venus,nakshatra,Ashwini,1,1996-02-17T23:26:15+00:00,1996
venus,nakshatra,Revati,4,1996-06-08T12:56:15+00:00,1996
venus,nakshatra,Ashwini,1,1996-09-29T16:30:00+00:00,1996
venus,nakshatra,Revati,4,1997-01-19T05:31:52.500000+00:00,1997
venus,nakshatra,Ashwini,1,1997-05-12T09:11:15+00:00,1997
venus,nakshatra,Revati,4,1997-08-31T22:24:22.500000+00:00,1997
venus,nakshatra,Ashwini,1,1997-12-23T01:52:30+00:00,1997
venus,nakshatra,Revati,4,1998-04-13T15:22:30+00:00,1998
venus,nakshatra,Ashwini,1,1998-08-04T18:33:45+00:00,1998
venus,nakshatra,Revati,4,1998-11-24T08:09:22.500000+00:00,1998
venus,nakshatra,Ashwini,1,1999-03-17T11:31:52.500000+00:00,1999
venus,nakshatra,Revati,4,1999-07-07T00:45:00+00:00,1999
venus,nakshatra,Ashwini,1,1999-10-28T04:13:07.500000+00:00,1999
venus,nakshatra,Revati,4,2000-02-16T17:37:30+00:00,2000
venus,nakshatra,Ashwini,1,2000-06-08T21:11:15+00:00,2000
venus,nakshatra,Revati,4,2000-09-28T10:35:37.500000+00:00,2000
venus,nakshatra,Ashwini,1,2001-01-19T13:41:15+00:00,2001
venus,nakshatra,Revati,4,2001-05-11T03:00:00+00:00,2001
venus,nakshatra,Ashwini,1,2001-09-01T06:45:00+00:00,2001
venus,nakshatra,Revati,4,2001-12-21T20:09:22.500000+00:00,2001
venus,nakshatra,Ashwini,1,2002-04-13T23:37:30+00:00,2002
venus,nakshatra,Revati,4,2002-08-03T12:39:22.500000+00:00,2002
venus,nakshatra,Ashwini,1,2002-11-24T15:56:15+00:00,2002
venus,nakshatra,Revati,4,2003-03-16T05:48:45+00:00,2003
venus,nakshatra,Ashwini,1,2003-07-07T09:11:15+00:00,2003
venus,nakshatra,Revati,4,2003-10-26T22:41:15+00:00,2003
venus,nakshatra,Ashwini,1,2004-02-17T01:41:15+00:00,2004
venus,nakshatra,Revati,4,2004-06-07T14:48:45+00:00,2004
venus,nakshatra,Ashwini,1,2004-09-28T18:39:22.500000+00:00,2004
venus,nakshatra,Revati,4,2005-01-18T08:15:00+00:00,2005
venus,nakshatra,Ashwini,1,2005-05-11T11:37:30+00:00,2005
venus,nakshatra,Revati,4,2005-08-31T00:45:00+00:00,2005
