planet,endpoint_type,to_sign,event_utc_dt,year
venus,rashi,Aries,1960-06-13T07:46:52.500000+00:00,1960
venus,rashi,Pisces,1960-10-02T22:30:00+00:00,1960
venus,rashi,Aries,1961-01-24T03:39:22.500000+00:00,1961
venus,rashi,Pisces,1961-05-15T17:03:45+00:00,1961
venus,rashi,Aries,1961-09-05T18:50:37.500000+00:00,1961
venus,rashi,Pisces,1961-12-26T06:45:00+00:00,1961
venus,rashi,Aries,1962-04-18T11:03:45+00:00,1962
venus,rashi,Pisces,1962-08-08T02:20:37.500000+00:00,1962
venus,rashi,Aries,1962-11-29T06:05:37.500000+00:00,1962
venus,rashi,Pisces,1963-03-20T18:11:15+00:00,1963
venus,rashi,Aries,1963-07-11T20:03:45+00:00,1963
venus,rashi,Pisces,1963-10-31T09:45:00+00:00,1963
venus,rashi,Aries,1964-02-21T14:48:45+00:00,1964
venus,rashi,Pisces,1964-06-12T05:09:22.500000+00:00,1964
venus,rashi,Aries,1964-10-03T07:30:00+00:00,1964
venus,rashi,Pisces,1965-01-22T19:13:07.500000+00:00,1965
venus,rashi,Aries,1965-05-15T22:35:37.500000+00:00,1965
venus,rashi,Pisces,1965-09-04T13:30:00+00:00,1965
venus,rashi,Aries,1965-12-26T18:11:15+00:00,1965
venus,rashi,Pisces,1966-04-17T06:45:00+00:00,1966
venus,rashi,Aries,1966-08-08T08:31:52.500000+00:00,1966
venus,rashi,Pisces,1966-11-27T21:33:45+00:00,1966
venus,rashi,Aries,1967-03-21T02:03:45+00:00,1967
venus,rashi,Pisces,1967-07-10T17:03:45+00:00,1967
venus,rashi,Aries,1967-10-31T19:58:07.500000+00:00,1967
venus,rashi,Pisces,1968-02-20T07:46:52.500000+00:00,1968
venus,rashi,Aries,1968-06-12T10:30:00+00:00,1968
venus,rashi,Pisces,1968-10-02T00:50:37.500000+00:00,1968
venus,rashi,Aries,1969-01-23T05:37:30+00:00,1969
venus,rashi,Pisces,1969-05-14T19:01:52.500000+00:00,1969
venus,rashi,Aries,1969-09-04T21:05:37.500000+00:00,1969
venus,rashi,Pisces,1969-12-25T09:28:07.500000+00:00,1969
venus,rashi,Aries,1970-04-17T13:35:37.500000+00:00,1970
venus,rashi,Pisces,1970-08-07T04:18:45+00:00,1970
venus,rashi,Aries,1970-11-28T08:09:22.500000+00:00,1970
venus,rashi,Pisces,1971-03-19T20:26:15+00:00,1971
venus,rashi,Aries,1971-07-10T22:35:37.500000+00:00,1971
venus,rashi,Pisces,1971-10-30T12:28:07.500000+00:00,1971
venus,rashi,Aries,1972-02-20T16:58:07.500000+00:00,1972
venus,rashi,Pisces,1972-06-11T07:07:30+00:00,1972
venus,rashi,Aries,1972-10-02T09:45:00+00:00,1972
venus,rashi,Pisces,1973-01-21T21:45:00+00:00,1973
venus,rashi,Aries,1973-05-15T01:18:45+00:00,1973
venus,rashi,Pisces,1973-09-03T15:45:00+00:00,1973
venus,rashi,Aries,1973-12-25T20:03:45+00:00,1973
venus,rashi,Pisces,1974-04-16T09:00:00+00:00,1974
venus,rashi,Aries,1974-08-07T10:58:07.500000+00:00,1974
venus,rashi,Pisces,1974-11-27T00:11:15+00:00,1974
venus,rashi,Aries,1975-03-20T04:30:00+00:00,1975
venus,rashi,Pisces,1975-07-09T18:50:37.500000+00:00,1975
venus,rashi,Aries,1975-10-30T22:01:52.500000+00:00,1975
venus,rashi,Pisces,1976-02-19T10:13:07.500000+00:00,1976
venus,rashi,Aries,1976-06-11T13:07:30+00:00,1976
venus,rashi,Pisces,1976-10-01T03:22:30+00:00,1976
venus,rashi,Aries,1977-01-22T07:35:37.500000+00:00,1977
venus,rashi,Pisces,1977-05-13T21:00:00+00:00,1977
venus,rashi,Aries,1977-09-03T23:37:30+00:00,1977
venus,rashi,Pisces,1977-12-24T12:05:37.500000+00:00,1977
venus,rashi,Aries,1978-04-16T16:07:30+00:00,1978
venus,rashi,Pisces,1978-08-06T06:28:07.500000+00:00,1978
venus,rashi,Aries,1978-11-27T10:01:52.500000+00:00,1978
venus,rashi,Pisces,1979-03-18T22:52:30+00:00,1979
venus,rashi,Aries,1979-07-10T01:13:07.500000+00:00,1979
venus,rashi,Pisces,1979-10-29T15:00:00+00:00,1979
venus,rashi,Aries,1980-02-19T19:13:07.500000+00:00,1980
venus,rashi,Pisces,1980-06-10T09:00:00+00:00,1980
venus,rashi,Aries,1980-10-01T11:54:22.500000+00:00,1980
venus,rashi,Pisces,1981-01-21T00:22:30+00:00,1981
venus,rashi,Aries,1981-05-14T03:50:37.500000+00:00,1981
venus,rashi,Pisces,1981-09-02T18:05:37.500000+00:00,1981
venus,rashi,Aries,1981-12-24T21:56:15+00:00,1981
venus,rashi,Pisces,1982-04-15T11:03:45+00:00,1982
venus,rashi,Aries,1982-08-06T13:35:37.500000+00:00,1982
venus,rashi,Pisces,1982-11-26T02:48:45+00:00,1982
venus,rashi,Aries,1983-03-19T06:50:37.500000+00:00,1983
venus,rashi,Pisces,1983-07-08T20:54:22.500000+00:00,1983
venus,rashi,Aries,1983-10-30T00:00:00+00:00,1983
venus,rashi,Pisces,1984-02-18T12:45:00+00:00,1984
venus,rashi,Aries,1984-06-10T15:45:00+00:00,1984
venus,rashi,Pisces,1984-09-30T05:43:07.500000+00:00,1984
venus,rashi,Aries,1985-01-21T09:45:00+00:00,1985
venus,rashi,Pisces,1985-05-12T22:58:07.500000+00:00,1985
venus,rashi,Aries,1985-09-03T01:58:07.500000+00:00,1985
venus,rashi,Pisces,1985-12-23T14:48:45+00:00,1985
venus,rashi,Aries,1986-04-15T18:33:45+00:00,1986
venus,rashi,Pisces,1986-08-05T08:31:52.500000+00:00,1986
venus,rashi,Aries,1986-11-26T12:00:00+00:00,1986
venus,rashi,Pisces,1987-03-18T01:01:52.500000+00:00,1987
venus,rashi,Aries,1987-07-09T03:56:15+00:00,1987
venus,rashi,Pisces,1987-10-28T17:31:52.500000+00:00,1987
venus,rashi,Aries,1988-02-18T21:22:30+00:00,1988
venus,rashi,Pisces,1988-06-09T10:58:07.500000+00:00,1988
venus,rashi,Aries,1988-09-30T14:03:45+00:00,1988
venus,rashi,Pisces,1989-01-20T03:05:37.500000+00:00,1989
venus,rashi,Aries,1989-05-13T06:28:07.500000+00:00,1989
venus,rashi,Pisces,1989-09-01T20:09:22.500000+00:00,1989
venus,rashi,Aries,1989-12-24T00:00:00+00:00,1989
venus,rashi,Pisces,1990-04-14T13:07:30+00:00,1990
venus,rashi,Aries,1990-08-05T16:07:30+00:00,1990
venus,rashi,Pisces,1990-11-25T05:31:52.500000+00:00,1990
venus,rashi,Aries,1991-03-18T09:05:37.500000+00:00,1991
venus,rashi,Pisces,1991-07-07T22:58:07.500000+00:00,1991
venus,rashi,Aries,1991-10-29T02:09:22.500000+00:00,1991
venus,rashi,Pisces,1992-02-17T15:11:15+00:00,1992
venus,rashi,Aries,1992-06-09T18:33:45+00:00,1992
venus,rashi,Pisces,1992-09-29T08:09:22.500000+00:00,1992
venus,rashi,Aries,1993-01-20T11:43:07.500000+00:00,1993
venus,rashi,Pisces,1993-05-12T01:01:52.500000+00:00,1993
venus,rashi,Aries,1993-09-02T04:13:07.500000+00:00,1993
venus,rashi,Pisces,1993-12-22T17:31:52.500000+00:00,1993
venus,rashi,Aries,1994-04-14T21:05:37.500000+00:00,1994
venus,rashi,Pisces,1994-08-04T10:30:00+00:00,1994
venus,rashi,Aries,1994-11-25T14:03:45+00:00,1994
venus,rashi,Pisces,1995-03-17T03:22:30+00:00,1995
venus,rashi,Aries,1995-07-08T06:33:45+00:00,1995
venus,rashi,Pisces,1995-10-27T20:09:22.500000+00:00,1995
venus,rashi,Aries,1996-02-17T23:26:15+00:00,1996
venus,rashi,Pisces,1996-06-08T12:56:15+00:00,1996
venus,rashi,Aries,1996-09-29T16:30:00+00:00,1996
venus,rashi,Pisces,1997-01-19T05:31:52.500000+00:00,1997
venus,rashi,Aries,1997-05-12T09:11:15+00:00,1997
venus,rashi,Pisces,1997-08-31T22:24:22.500000+00:00,1997
venus,rashi,Aries,1997-12-23T01:52:30+00:00,1997
venus,rashi,Pisces,1998-04-13T15:22:30+00:00,1998
venus,rashi,Aries,1998-08-04T18:33:45+00:00,1998
venus,rashi,Pisces,1998-11-24T08:09:22.500000+00:00,1998
